timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2020/04/26 14:51:57.700,545,HTTP Request -- Possitve  case -  validate google.com,200,OK,Thread Group - Simple google.com 1-1,text,true,,12813,118,1,1,http://www.google.com/,459,0,286
2020/04/26 14:51:58.249,171,HTTP Request -- Negative  case -  validate google.com,200,OK,Thread Group - Simple google.com 1-1,text,false,Test failed: code expected to contain /400/,12794,118,1,1,http://www.google.com/,141,0,0
